,crypto,url,date,id,username,content,text_length,content_processed,polarity,subjectivity,label,text_processed_length,tweet_num,score,magnitude,google_language,google_entities,google_categories
0,bitcoin,https://twitter.com/WSJ/status/1080282560880623617,2019-01-02 02:00:07+00:00,1080282560880623617,WSJ,"After bitcoin slumps 70% in 2018, the digital currency's fans look for a rebound https://t.co/T4y4JzzDkA",104,bitcoin slumps   digital currencys fans look rebound ,0.0,0.0,3,53,47,0.10000000149011612,0.10000000149011612,en,"OTHER,PERSON,DATE,NUMBER",
1,bitcoin,https://twitter.com/FT/status/1080865419093831681,2019-01-03 16:36:12+00:00,1080865419093831681,FT,Happy birthday bitcoin. Your gift: a log chart in the The Times https://t.co/Qk3eml8uyg,87,happy birthday bitcoin gift log chart times ,0.8,1.0,5,44,563,0.4000000059604645,0.8999999761581421,en,OTHER,
2,bitcoin,https://twitter.com/business/status/1082149941915590657,2019-01-07 05:40:26+00:00,1082149941915590657,business,This crypto exchange is taking on the behemoths with physical Bitcoin futures https://t.co/1iISVVUKnj,101,crypto exchange taking behemoths physical bitcoin futures ,0.0,0.14285714285714285,3,58,419,-0.10000000149011612,0.10000000149011612,en,"OTHER,NUMBER",
3,btc,https://twitter.com/Investingcom/status/1082183569311744001,2019-01-07 07:54:03+00:00,1082183569311744001,Investingcom,"It's the first time we've seen #Bitcoin climb above $4k this year. 👀

Oh and the other top #Cryptocurrencies are all in the green this morning too!

$BTC $ETH $XRP $BCH $EOS $LTC $XLM $USDT $BSV $TRX https://t.co/1D8dhTRP6d",223,first time weve seen  climb k year   oh top  green morning            ,0.18333333333333335,0.37777777777777777,4,70,617,0.20000000298023224,1.100000023841858,en,"OTHER,PRICE,NUMBER",/Finance/Investing/Currencies & Foreign Exchange
4,bitcoin,https://twitter.com/Investingcom/status/1082183569311744001,2019-01-07 07:54:03+00:00,1082183569311744001,Investingcom,"It's the first time we've seen #Bitcoin climb above $4k this year. 👀

Oh and the other top #Cryptocurrencies are all in the green this morning too!

$BTC $ETH $XRP $BCH $EOS $LTC $XLM $USDT $BSV $TRX https://t.co/1D8dhTRP6d",223,first time weve seen  climb k year   oh top  green morning            ,0.18333333333333335,0.37777777777777777,4,70,493,0.20000000298023224,1.100000023841858,en,"OTHER,PRICE,NUMBER",/Finance/Investing/Currencies & Foreign Exchange
5,bitcoin,https://twitter.com/business/status/1082392160694124545,2019-01-07 21:42:55+00:00,1082392160694124545,business,Cameron and Tyler Winklevoss say they are still committed to making a Bitcoin ETF a reality https://t.co/mbImXLKLSI,115,cameron tyler winklevoss say still committed making bitcoin etf reality ,0.0,0.0,3,72,418,0.10000000149011612,0.10000000149011612,en,"OTHER,PERSON",
6,bitcoin,https://twitter.com/business/status/1082450278299910146,2019-01-08 01:33:51+00:00,1082450278299910146,business,Cameron and Tyler Winklevoss say they are still committed to making a Bitcoin ETF a reality https://t.co/lgoa7mG098,115,cameron tyler winklevoss say still committed making bitcoin etf reality ,0.0,0.0,3,72,417,0.10000000149011612,0.10000000149011612,en,"OTHER,PERSON",
7,bitcoin,https://twitter.com/business/status/1082583914684796928,2019-01-08 10:24:53+00:00,1082583914684796928,business,Bitcoin mining chip maker Canaan considers U.S. IPO https://t.co/8cDH0I5WFL https://t.co/Jjg9SroftO,99,bitcoin mining chip maker canaan considers us ipo  ,0.0,0.0,3,51,416,0.0,0.0,en,"OTHER,LOCATION,NUMBER,EVENT,ORGANIZATION",
8,bitcoin,https://twitter.com/business/status/1082647213577289728,2019-01-08 14:36:24+00:00,1082647213577289728,business,Cameron and Tyler Winklevoss say they are still committed to making a Bitcoin ETF a reality https://t.co/w8oN7vrYEW,115,cameron tyler winklevoss say still committed making bitcoin etf reality ,0.0,0.0,3,72,415,0.10000000149011612,0.10000000149011612,en,"OTHER,PERSON",
9,btc,https://twitter.com/Investingcom/status/1083002720632614913,2019-01-09 14:09:04+00:00,1083002720632614913,Investingcom,"Our Senior Analyst @ClemThibault's Bitcoin predictions for 2019 were featured in the @Daily_Express. 

#cyrpto @Amani__Hughes #Bitcoin #BTC https://t.co/54ERW6PDzB",163,senior analyst bitcoin predictions  featured express    hughes   ,0.0,0.0,3,65,616,0.10000000149011612,0.20000000298023224,en,"OTHER,PERSON,NUMBER",/Finance/Investing/Currencies & Foreign Exchange
