customer_id,buy_proba
20201026-010002,0.9740644582012211
20201026-010012,0.9803630422282548
20201026-010016,0.8931200085854848
20201026-010018,0.9009053207130867
20201026-010022,0.9448679303450976
20201026-010028,0.9581387289001838
20201026-010029,0.956262283779338
20201026-010036,0.9648482185126355
20201026-010040,0.9614485070562462
20201026-010044,0.9663032180301752
20201026-010047,0.9374604022878759
20201026-010052,0.9811418815134163
20201026-010056,0.9443795330155691
20201026-010062,0.9209711728620089
20201026-010069,0.9613551489979709
20201026-010070,0.9278405199959354
20201026-010071,0.9785558271922568
20201026-010072,0.9345274153830904
20201026-010075,0.9131299000195026
20201026-010081,0.8973839348331
20201026-010083,0.9549232600146048
20201026-010093,0.9383173869743455
20201026-010096,0.9811418815134163
20201026-010103,0.9586676032873016
20201026-010104,0.9494834581698733
20201026-010113,0.9278405199959354
20201026-010114,0.9173077316839288
20201026-010121,0.961534193302429
20201026-010126,0.9669342997412241
20201026-010137,0.9632269340864223
20201026-010138,0.9269101103364162
20201026-010139,0.9811418815134163
20201026-010141,0.9633886001656381
20201026-010142,0.9547697184915224
20201026-010154,0.9709589272987674
20201026-010162,0.8400901408965683
20201026-010163,0.8400901408965683
20201026-010166,0.7818612334875742
20201026-010171,0.9709589272987674
20201026-010173,0.9619935132432836
20201026-010188,0.9004281257925242
20201026-020002,0.9536466082701555
20201026-020003,0.9209711728620089
20201026-020016,0.9598965905532781
20201026-020021,0.9129487425444764
20201026-020023,0.9440455808243605
20201026-020027,0.9574885976522038
20201026-020037,0.9636606060651365
20201026-020041,0.903506027401666
20201026-020051,0.9036303553079916
20201026-020056,0.9704733892500031
20201026-020059,0.9669342997412241
20201026-020062,0.9400971298437832
20201026-020064,0.9059760693504042
20201026-020065,0.928245409659697
20201026-020066,0.9578627034340006
20201026-020067,0.9614485070562462
20201026-020072,0.9302792749243963
20201026-020076,0.9636606060651365
20201026-020080,0.9649334458348793
20201026-020096,0.8700482966683156
20201026-020097,0.963640714579362
20201026-020107,0.9421292811164251
20201026-020111,0.910092323055974
20201026-020115,0.9686564007240337
20201026-020118,0.9578627034340006
20201026-020122,0.9649334458348793
20201026-020123,0.8735662250830315
20201026-020124,0.9383173869743455
20201026-020125,0.953187461715914
20201026-020134,0.9628204368437543
20201026-020135,0.9588960886093183
20201026-020141,0.9803630422282548
20201026-020164,0.9204123817718939
20201026-020165,0.9614485070562462
20201026-020167,0.9329578722112272
20201026-020175,0.9540946420342988
20201026-020184,0.9008881689211433
20201026-020202,0.9614485070562462
20201026-020204,0.8308415168879634
20201026-020205,0.9636606060651365
20201026-020210,0.9428034268185579
20201026-020214,0.8412030896731215
20201026-020215,0.9553382687475339
20201026-020224,0.9297795138802495
20201026-020226,0.9721672586047008
20201026-020227,0.9460905782302568
20201026-020233,0.9547697184915224
20201026-020236,0.9278405199959354
20201026-020239,0.9037297325098056
20201026-020242,0.9592539832848901
20201026-020249,0.9570125088360824
20201026-020259,0.8750399799496877
20201026-020263,0.9121455136013712
20201026-020288,0.8328456317293218
20201026-020290,0.7209035273656884
20201026-020291,0.9033929020241809
20201026-020294,0.9323727088036246
20201026-020297,0.9336307772795421
20201026-020301,0.9648482185126355
20201026-020306,0.9578627034340006
20201026-020307,0.9636606060651365
20201026-020316,0.8797590071805838
20201026-020321,0.837328953016612
20201026-020322,0.8153249958251607
20201026-020324,0.9173077316839288
20201026-030001,0.9815003814087353
20201026-030007,0.9398870632001676
20201026-030013,0.8950736865521705
20201026-030014,0.9460905782302568
20201026-030015,0.9174992146381421
20201026-030018,0.9140210249056254
20201026-030025,0.9009053207130867
20201026-030036,0.9398870632001676
20201026-030038,0.9549620180587747
20201026-030044,0.9129084061583683
20201026-030047,0.9345274153830904
20201026-030050,0.9094797530338381
20201026-030054,0.9173077316839288
20201026-030057,0.9381218412959217
20201026-030060,0.8971668658814119
20201026-030065,0.9343119671771323
20201026-030077,0.978497196086754
20201026-030086,0.8677570647562018
20201026-030097,0.8840429301740155
20201026-030099,0.94995198874676
20201026-030101,0.9131299000195026
20201026-030106,0.890442113208058
20201026-030110,0.9649334458348793
20201026-030111,0.8429104944957252
20201026-030113,0.8804712023251645
20201026-030117,0.9275018141109371
20201026-030134,0.9669524511618872
20201026-030139,0.8290492139196793
20201026-030148,0.9648482185126355
20201026-030154,0.9616588615987978
20201026-030159,0.9155499799043647
20201026-030163,0.890442113208058
20201026-030171,0.9803145506401528
20201026-030176,0.9067664048101105
20201026-030178,0.827122777957199
20201026-030181,0.9669342997412241
20201026-030185,0.9226478394430813
20201026-030186,0.9383173869743455
20201026-030191,0.9448679303450976
20201026-030192,0.9811418815134163
20201026-040006,0.9484317468254705
20201026-040009,0.9383173869743455
20201026-040015,0.9649334458348793
20201026-040025,0.9391638109314293
20201026-040032,0.9553382687475339
20201026-040035,0.9785558271922568
20201026-040039,0.7985184499620168
20201026-040043,0.9709589272987674
20201026-040045,0.809388158564025
20201026-040049,0.9648482185126355
20201026-040054,0.8383294721599617
20201026-040058,0.9226478394430813
20201026-040059,0.9073710681815148
20201026-040062,0.9365588903387129
20201026-040064,0.9649334458348793
20201026-040074,0.8495977844699114
20201026-040086,0.9761129006027366
20201026-040087,0.9669342997412241
20201026-040088,0.9709589272987674
20201026-040096,0.9663032180301752
20201026-040097,0.9329164519557152
20201026-040105,0.9169915731466427
20201026-040107,0.8970626233436486
20201026-040108,0.9741228583888755
20201026-040113,0.8292757850101554
20201026-040117,0.8517771774916126
20201026-040120,0.942542407460144
20201026-040121,0.9300162301607648
20201026-040123,0.8677226752572931
20201026-040126,0.9278405199959354
20201026-040132,0.8615479922291939
20201026-040139,0.9663032180301752
20201026-040140,0.9686564007240337
20201026-040146,0.9323727088036246
20201026-040155,0.9052483622022294
20201026-040163,0.883098086093666
20201026-040165,0.8807709321340064
20201026-040168,0.9345274153830904
20201026-040173,0.8987354937737149
20201026-040178,0.9698911726266463
20201026-040179,0.918598181106941
20201026-040192,0.9278405199959354
20201026-040193,0.9655885931450348
20201026-040196,0.9750867630354333
20201026-050008,0.9278405199959354
20201026-050018,0.8310584972325468
20201026-050020,0.9659490445045038
20201026-050032,0.9636606060651365
20201026-050039,0.8804712023251645
20201026-050049,0.9616588615987978
20201026-050050,0.9553382687475339
20201026-050056,0.8876016340271219
20201026-050057,0.9460905782302568
20201026-050058,0.9516377714983544
20201026-050059,0.9283533620958102
20201026-050070,0.9619935132432836
20201026-050074,0.9684180317455772
20201026-050075,0.923210450898412
20201026-050076,0.9750867630354333
20201026-050083,0.963640714579362
