,crypto,url,date,id,username,content,text_length,content_processed,polarity,subjectivity,label,text_processed_length,tweet_num,score,magnitude,google_language,google_entities,google_categories
0,bitcoin,https://twitter.com/business/status/1212454519847694336,2020-01-01 19:24:18+00:00,1212454519847694336,business,"Bitcoin's 9,000,000% rise this decade leaves the skeptics aghast https://t.co/rF5aIfqexg",88,bitcoins  rise decade leaves skeptics aghast ,-0.6,0.9,1,45,320,0.10000000149011612,0.10000000149011612,en,"OTHER,PERSON,NUMBER,EVENT",
1,bitcoin,https://twitter.com/business/status/1212522558358204416,2020-01-01 23:54:40+00:00,1212522558358204416,business,"- Bitcoin's 9,000,000% return
- Kim Jong Un wants the U.S. to ""pay"" for its sanctions
- Ghosn plans to speak his mind

What you need to know at the start of Asia's trading day https://t.co/GPnR3Xfybq",199, bitcoins  return  kim jong un wants us pay sanctions  ghosn plans speak mind  need know start asias trading day ,0.2,0.1,4,113,319,-0.20000000298023224,0.699999988079071,en,"OTHER,PERSON,LOCATION,NUMBER,EVENT",/Finance/Investing/Currencies & Foreign Exchange
2,bitcoin,https://twitter.com/business/status/1212869208863850496,2020-01-02 22:52:08+00:00,1212869208863850496,business,Bitcoin is not off to a great start in 2020 https://t.co/YXbTSlcJ2s,67,bitcoin great start  ,0.8,0.75,5,21,318,-0.6000000238418579,0.6000000238418579,en,"OTHER,DATE,NUMBER,EVENT",
3,bitcoin,https://twitter.com/business/status/1212909632462770176,2020-01-03 01:32:45+00:00,1212909632462770176,business,Bitcoin is not off to a great start in 2020 https://t.co/BDie5U2a7C,67,bitcoin great start  ,0.8,0.75,5,21,317,-0.6000000238418579,0.6000000238418579,en,"OTHER,DATE,NUMBER,EVENT",
4,bitcoin,https://twitter.com/business/status/1212952237619732480,2020-01-03 04:22:03+00:00,1212952237619732480,business,Bitcoin is not off to a great start in 2020 https://t.co/a4CaSTEioy,67,bitcoin great start  ,0.8,0.75,5,21,316,-0.6000000238418579,0.6000000238418579,en,"OTHER,DATE,NUMBER,EVENT",
5,bitcoin,https://twitter.com/business/status/1214532632530292737,2020-01-07 13:01:59+00:00,1214532632530292737,business,The world’s largest Bitcoin mine is luring new clients to this Texas hotspot https://t.co/8dVUdyR3C3,100,worlds largest bitcoin mine luring new clients texas hotspot ,0.13636363636363635,0.45454545454545453,4,61,315,-0.699999988079071,0.699999988079071,en,"OTHER,PERSON,LOCATION,NUMBER",
6,bitcoin,https://twitter.com/business/status/1214639629464489984,2020-01-07 20:07:09+00:00,1214639629464489984,business,The world’s largest Bitcoin mine is luring new clients to this Texas hotspot https://t.co/5WRj6zthYd,100,worlds largest bitcoin mine luring new clients texas hotspot ,0.13636363636363635,0.45454545454545453,4,61,314,-0.699999988079071,0.699999988079071,en,"OTHER,PERSON,LOCATION,NUMBER",
7,bitcoin,https://twitter.com/business/status/1214649183996645377,2020-01-07 20:45:07+00:00,1214649183996645377,business,"Bitcoin takes off after breaking through $8,000, reaching its highest level since November https://t.co/VVyXUT24Ee",114,bitcoin takes breaking  reaching highest level since november ,0.0,0.0,3,62,313,0.0,0.0,en,"OTHER,PRICE,NUMBER",
8,bitcoin,https://twitter.com/business/status/1214765660284366850,2020-01-08 04:27:57+00:00,1214765660284366850,business,"Bitcoin takes off after breaking through $8,000, reaching its highest level since November https://t.co/CGWOrrcdVh https://t.co/2AP6cm73fh",138,bitcoin takes breaking  reaching highest level since november  ,0.0,0.0,3,63,312,0.0,0.0,en,"OTHER,PRICE,NUMBER",
9,bitcoin,https://twitter.com/elonmusk/status/1215526980449255424,2020-01-10 06:53:10+00:00,1215526980449255424,elonmusk,Bitcoin is *not* my safe word,29,bitcoin safe word,0.5,0.5,5,17,431,-0.699999988079071,0.699999988079071,en,OTHER,
